run_id,temperature,pressure,o2,faulty,temperature_iqr_outlier,temperature_zscore_outlier,pressure_iqr_outlier,pressure_zscore_outlier,o2_iqr_outlier,o2_zscore_outlier
0,553.0582275391,-53.9282989502,5.1245999336,0,True,False,False,False,False,False
0,561.7127075195,-53.5337982178,5.1831002235,0,True,False,False,False,False,False
0,564.1854858398,-53.1459999084,5.1156997681,0,True,False,False,False,False,False
0,567.007019043,-52.3601989746,4.7369999886,0,True,False,False,False,False,False
0,569.3228149414,-52.922000885,5.0009999275,0,True,False,False,False,False,False
0,571.9213256836,-53.0357017517,4.8152999878,0,True,False,False,False,False,False
0,573.2672119141,-52.1674003601,5.184800148,0,True,False,False,False,False,False
0,574.5466918945,-52.6111984253,5.0489997864,0,True,False,False,False,False,False
0,578.8483886719,-52.1986999512,4.888999939,0,True,False,False,False,False,False
0,583.4027709961,-52.5012016296,5.2146000862,0,True,False,False,False,False,False
0,584.367980957,-52.4462013245,4.9345998764,0,True,False,False,False,False,False
0,585.4432983398,-51.1489982605,5.0258002281,0,True,False,False,False,False,False
0,588.1715087891,-51.0183982849,5.0574002266,0,True,False,False,False,False,False
0,593.0805053711,-51.8246002197,5.1194000244,0,True,False,False,False,False,False
0,591.112121582,-51.6302986145,4.8755998611,0,True,False,False,False,False,False
0,593.9061889648,-51.4959983826,4.6065001488,0,True,False,False,False,False,False
0,601.242980957,-50.6930007935,5.0443000793,0,True,False,False,False,False,False
0,605.2932739258,-50.5401992798,4.5222997665,0,True,False,False,False,False,False
0,608.2130126953,-50.537399292,5.1206002235,0,True,False,False,False,False,False
0,607.1959838867,-52.0765991211,4.8674001694,0,True,False,False,False,False,False
0,612.6323852539,-49.5789985657,5.2097997665,0,True,False,False,False,False,False
0,612.0385742188,-50.006401062,5.081099987,0,True,False,False,False,False,False
0,612.0305786133,-49.8512001038,4.5022997856,0,True,False,False,False,False,False
0,613.1677246094,-50.9578018188,4.9805998802,0,True,False,False,False,False,False
0,617.3635864258,-50.1190986633,4.7880997658,0,True,False,False,False,False,False
0,616.0311279297,-49.6470985413,4.6494002342,0,True,False,False,False,False,False
0,623.862121582,-48.7568016052,4.7077999115,0,True,False,False,False,False,False
0,621.7810058594,-49.6105995178,4.7807998657,0,True,False,False,False,False,False
0,625.2777099609,-48.8120994568,4.722099781,0,True,False,False,False,False,False
0,627.6743164062,-48.926700592,4.8805999756,0,True,False,False,False,False,False
0,627.9600219727,-49.0116996765,4.6171998978,0,True,False,False,False,False,False
0,629.7835083008,-49.4925003052,4.5359997749,0,True,False,False,False,False,False
0,636.0076904297,-48.086101532,4.8439002037,0,True,False,False,False,False,False
0,635.3820800781,-47.6186981201,4.595099926,0,True,False,False,False,False,False
0,638.2797851562,-48.3616981506,4.8498001099,0,True,False,False,False,False,False
0,640.1453857422,-47.7034988403,4.7600002289,0,True,False,False,False,False,False
0,642.9002075195,-47.3801994324,4.932199955,0,True,False,False,False,False,False
0,644.4384155273,-48.1675987244,4.8586001396,0,True,False,False,False,False,False
0,645.3679199219,-48.2577018738,4.6293001175,0,True,False,False,False,False,False
0,644.6901855469,-46.9922981262,4.7572999001,0,True,False,False,False,False,False
0,649.1284179688,-47.8289985657,4.7677001953,0,True,False,False,False,False,False
0,653.4133911133,-47.7700996399,4.8168997765,0,True,False,False,False,False,False
0,654.364074707,-46.8611984253,4.6872000694,0,True,False,False,False,False,False
0,655.1091918945,-46.3852996826,4.8031001091,0,True,False,False,False,False,False
0,660.3037719727,-47.198299408,4.6128997803,0,True,False,False,False,False,False
0,660.249206543,-47.0344009399,4.7641000748,0,True,False,False,False,False,False
0,658.1746826172,-47.1403999329,4.7463002205,0,True,False,False,False,False,False
0,662.2755737305,-47.2731018066,4.6890997887,0,True,False,False,False,False,False
0,664.7800292969,-47.0699005127,4.8857998848,0,True,False,False,False,False,False
0,664.4354248047,-47.1739006042,4.8334999084,0,True,False,False,False,False,False
0,668.9739990234,-46.4058990479,4.8640999794,0,True,False,False,False,False,False
0,673.9918823242,-46.8572006226,4.8273000717,0,True,False,False,False,False,False
0,670.3176879883,-47.0055007935,4.7479000092,0,True,False,False,False,False,False
0,674.8494873047,-47.3069000244,4.9201998711,0,True,False,False,False,False,False
0,674.0169067383,-47.4925003052,4.7494001389,0,True,False,False,False,False,False
0,677.7456054688,-47.2526016235,4.9043998718,0,True,False,False,False,False,False
0,676.4713745117,-47.9813995361,4.7656998634,0,True,False,False,False,False,False
0,681.1124267578,-48.5588989258,4.6314001083,0,True,False,False,False,False,False
0,683.1809082031,-47.6624984741,4.5957999229,0,True,False,False,False,False,False
0,681.6566162109,-48.4725990295,4.9239997864,0,True,False,False,False,False,False
0,687.5971069336,-48.1236991882,4.6554999352,0,True,False,False,False,False,False
0,685.2954711914,-48.4737014771,4.5471000671,0,True,False,False,False,False,False
0,690.1928100586,-48.5909004211,4.6589999199,0,True,False,False,False,False,False
0,689.5883178711,-49.2027015686,4.5770001411,0,True,False,False,False,False,False
0,691.5330200195,-48.9295005798,4.7755999565,0,True,False,False,False,False,False
0,690.1953125,-48.6852989197,4.7722001076,0,True,False,False,False,False,False
0,688.2943725586,-49.2480010986,4.6659998894,0,True,False,False,False,False,False
0,696.5654296875,-48.6946983337,4.6051998138,0,True,False,False,False,False,False
0,698.0983886719,-49.6083984375,4.9397001266,0,True,False,False,False,False,False
0,697.0111083984,-49.9761009216,4.9470000267,0,True,False,False,False,False,False
0,701.1334228516,-49.5287017822,4.9307999611,0,True,False,False,False,False,False
0,705.0311889648,-49.8787002563,4.8983998299,0,True,False,False,False,False,False
0,700.2636108398,-50.3504981995,4.9725999832,0,True,False,False,False,False,False
0,702.6995849609,-51.5250015259,4.6385002136,0,True,False,False,False,False,False
0,709.6597290039,-49.8933982849,4.7012000084,0,True,False,False,False,False,False
0,708.9594116211,-50.5055999756,4.8814997673,0,True,False,False,False,False,False
0,707.1165771484,-51.1794013977,5.1420001984,0,True,False,False,False,False,False
0,707.3416137695,-51.1277008057,4.6531000137,0,True,False,False,False,False,False
0,712.6168212891,-51.5363998413,4.9779000282,0,True,False,False,False,False,False
0,712.2628173828,-51.9072990417,5.1866002083,0,True,False,False,False,False,False
0,714.2352905273,-52.0026016235,4.7438001633,0,True,False,False,False,False,False
1,199.0879974365,-39.8372001648,6.2406001091,0,True,True,False,False,False,False
1,207.2937927246,-40.1102981567,6.486000061,0,True,True,False,False,False,False
1,217.1981048584,-39.3092002869,6.3842000961,0,True,True,False,False,False,False
1,223.5991973877,-39.2016983032,6.4415001869,0,True,True,False,False,False,False
1,232.8190002441,-39.9272994995,6.3937997818,0,True,True,False,False,False,False
1,240.7624969482,-39.8128013611,6.3274002075,0,True,True,False,False,False,False
1,249.2765960693,-38.6859016418,6.2013998032,0,True,True,False,False,False,False
1,255.2136993408,-39.4734992981,6.2182998657,0,True,True,False,False,False,False
1,263.9482116699,-38.470199585,6.2892999649,0,True,True,False,False,False,False
1,273.0851135254,-38.570098877,6.443500042,0,True,True,False,False,False,False
1,281.9334106445,-38.220199585,6.3896999359,0,True,True,False,False,False,False
1,286.7882080078,-38.9710998535,6.1852002144,0,True,True,False,False,False,False
1,291.4280090332,-37.3464012146,6.0413999557,0,True,True,False,False,False,False
1,302.9227905273,-37.9519004822,6.5444998741,0,True,True,False,False,False,False
1,308.1940917969,-37.8857002258,6.3092999458,0,True,True,False,False,False,False
1,315.3612060547,-38.0367012024,6.3129000664,0,True,True,False,False,False,False
1,326.0693054199,-38.0924987793,6.4527001381,0,True,True,False,False,False,False
1,327.8706054688,-38.0340995789,6.4362998009,0,True,True,False,False,False,False
1,335.3059997559,-38.0704994202,6.4935002327,0,True,True,False,False,False,False
